id,step,level,nextNeedExp,nextLevelCostCoin,nextLevelSoul,getExp,levelUpToStep,levelUpToLevel,acupoint,critRate,activeSkill,MaxHP,MaxMP,MaxSP,PA,MA,PF,MF,HPRecover,MPRecover,SPRecover,MaxHPAdd,MaxMPAdd,MaxSPAdd,PAAdd,MAAdd,PFAdd,MFAdd,HPRecoverAdd,MPRecoverAdd,SPRecoverAdd,power,positionX,positionY
6046,6,46,26095,640,320,320,6,47,,50;30;20,,0,0,0,0,0,0,0,,,,246653,0,1807,7996,8069,2533,2553,0,0,0,55487,1911,129
6047,6,47,26520,650,325,325,6,48,36,50;30;20,,7318,0,0,0,0,0,0,,,,253971,0,1807,7996,8069,2533,2553,0,0,0,55735,1980,121
6048,6,48,26945,660,330,330,6,49,,50;30;20,,0,0,0,0,0,0,0,,,,253971,0,1807,7996,8069,2533,2553,0,0,0,55735,1958,196
6049,6,49,27370,670,335,335,6,50,,50;30;20,,7540,0,0,0,0,0,0,,,,261511,0,1807,7996,8069,2533,2553,0,0,0,55992,2006,249
6050,6,50,27795,680,340,340,6,51,,50;30;20,,0,0,0,0,0,0,0,,,,261511,0,1807,7996,8069,2533,2553,0,0,0,55992,2053,196
6051,6,51,28220,690,345,345,6,52,,50;30;20,,7761,0,0,0,0,0,0,,,,269272,0,1807,7996,8069,2533,2553,0,0,0,56256,2084,126
6052,6,52,28645,700,350,350,6,53,,50;30;20,,0,0,0,0,0,0,0,,,,269272,0,1807,7996,8069,2533,2553,0,0,0,56256,2152,87
6053,6,53,0,0,355,355,7,0,,50;30;20,,7983,0,0,0,0,0,0,,,,277255,0,1807,7996,8069,2533,2553,0,0,0,56527,2231,100
7000,7,0,8755,262,105,105,7,1,,50;30;20,3,19069,0,150,700,700,390,390,,,,296324,0,1957,8696,8769,2923,2943,0,0,0,66159,224,196
7001,7,1,9180,275,110,110,7,2,,50;30;20,,0,0,0,0,0,77,0,,,,296324,0,1957,8696,8769,3000,2943,0,0,0,66221,272,249
7002,7,2,9605,287,115,115,7,3,,50;30;20,,0,0,0,0,0,0,80,,,,296324,0,1957,8696,8769,3000,3023,0,0,0,66285,319,196
7003,7,3,10030,300,120,120,7,4,,50;30;20,,0,0,0,0,0,85,0,,,,296324,0,1957,8696,8769,3085,3023,0,0,0,66353,350,126
7004,7,4,10455,312,125,125,7,5,,50;30;20,,0,0,0,0,0,0,87,,,,296324,0,1957,8696,8769,3085,3110,0,0,0,66423,418,87
7005,7,5,10880,325,130,130,7,6,,50;30;20,,0,0,0,0,0,93,0,,,,296324,0,1957,8696,8769,3178,3110,0,0,0,66497,497,100
7006,7,6,11305,337,135,135,7,7,37,50;30;20,,0,0,0,0,0,0,95,,,,296324,0,1957,8696,8769,3178,3205,0,0,0,66573,520,168
7007,7,7,11730,350,140,140,7,8,,50;30;20,,0,0,0,0,0,100,0,,,,296324,0,1957,8696,8769,3278,3205,0,0,0,66653,530,240
7008,7,8,12155,362,145,145,7,9,,50;30;20,,0,0,0,0,0,0,102,,,,296324,0,1957,8696,8769,3278,3307,0,0,0,66735,582,287
7009,7,9,12580,375,150,150,7,10,,50;30;20,,0,0,0,0,0,108,0,,,,296324,0,1957,8696,8769,3386,3307,0,0,0,66821,652,302
7010,7,10,13005,387,155,155,7,11,,50;30;20,,0,0,0,0,0,0,110,,,,296324,0,1957,8696,8769,3386,3417,0,0,0,66909,723,315
7011,7,11,13430,400,160,160,7,12,,50;30;20,,0,0,0,0,0,116,0,,,,296324,0,1957,8696,8769,3502,3417,0,0,0,67002,790,291
7012,7,12,13855,412,165,165,7,13,,50;30;20,,0,0,0,0,0,0,118,,,,296324,0,1957,8696,8769,3502,3535,0,0,0,67096,761,231
7013,7,13,14280,425,170,170,7,14,,50;30;20,,0,0,0,0,0,124,0,,,,296324,0,1957,8696,8769,3626,3535,0,0,0,67195,710,181
7014,7,14,14705,437,175,175,7,15,38,50;30;20,,0,0,0,0,0,0,125,,,,296324,0,1957,8696,8769,3626,3660,0,0,0,67295,755,129
7015,7,15,15130,450,180,180,7,16,,50;30;20,,0,0,0,0,0,131,0,,,,296324,0,1957,8696,8769,3757,3660,0,0,0,67400,824,121
7016,7,16,15555,462,185,185,7,17,,50;30;20,,0,0,0,0,0,0,133,,,,296324,0,1957,8696,8769,3757,3793,0,0,0,67507,802,196
7017,7,17,15980,475,190,190,7,18,,50;30;20,,0,0,0,0,0,139,0,,,,296324,0,1957,8696,8769,3896,3793,0,0,0,67618,850,249
7018,7,18,16405,487,195,195,7,19,,50;30;20,,0,0,0,0,0,0,140,,,,296324,0,1957,8696,8769,3896,3933,0,0,0,67730,897,196
7019,7,19,16830,500,200,200,7,20,,50;30;20,,0,0,0,0,0,147,0,,,,296324,0,1957,8696,8769,4043,3933,0,0,0,67847,928,126
7020,7,20,17255,512,205,205,7,21,,50;30;20,,0,0,0,0,0,0,148,,,,296324,0,1957,8696,8769,4043,4081,0,0,0,67966,996,87
7021,7,21,17680,525,210,210,7,22,,50;30;20,,0,0,0,0,0,155,0,,,,296324,0,1957,8696,8769,4198,4081,0,0,0,68090,1075,100
7022,7,22,18105,537,215,215,7,23,39,50;30;20,,0,0,0,0,0,0,156,,,,296324,0,1957,8696,8769,4198,4237,0,0,0,68215,1098,168
7023,7,23,18530,550,220,220,7,24,,50;30;20,,0,0,0,0,0,162,0,,,,296324,0,1957,8696,8769,4360,4237,0,0,0,68344,1108,240
7024,7,24,18955,562,225,225,7,25,,50;30;20,,0,0,0,0,0,0,163,,,,296324,0,1957,8696,8769,4360,4400,0,0,0,68475,1160,287
7025,7,25,19380,575,230,230,7,26,,50;30;20,,0,0,0,0,0,170,0,,,,296324,0,1957,8696,8769,4530,4400,0,0,0,68611,1230,302
7026,7,26,19805,587,235,235,7,27,,50;30;20,,0,0,0,0,0,0,171,,,,296324,0,1957,8696,8769,4530,4571,0,0,0,68747,1301,315
7027,7,27,20230,600,240,240,7,28,,50;30;20,,0,0,0,0,0,178,0,,,,296324,0,1957,8696,8769,4708,4571,0,0,0,68890,1368,291
7028,7,28,20655,612,245,245,7,29,,50;30;20,,0,0,0,0,0,0,178,,,,296324,0,1957,8696,8769,4708,4749,0,0,0,69032,1339,231
7029,7,29,21080,625,250,250,7,30,,50;30;20,,0,0,0,0,0,185,0,,,,296324,0,1957,8696,8769,4893,4749,0,0,0,69180,1288,181
7030,7,30,21505,637,255,255,7,31,40,50;30;20,,0,0,0,0,0,0,186,,,,296324,0,1957,8696,8769,4893,4935,0,0,0,69329,1333,129
7031,7,31,21930,650,260,260,7,32,,50;30;20,,0,0,0,0,0,193,0,,,,296324,0,1957,8696,8769,5086,4935,0,0,0,69483,1402,121
7032,7,32,22355,662,265,265,7,33,,50;30;20,,0,0,0,0,0,0,194,,,,296324,0,1957,8696,8769,5086,5129,0,0,0,69639,1380,196
7033,7,33,22780,675,270,270,7,34,,50;30;20,,0,0,0,0,0,201,0,,,,296324,0,1957,8696,8769,5287,5129,0,0,0,69799,1428,249
7034,7,34,23205,687,275,275,7,35,,50;30;20,,0,0,0,0,0,0,201,,,,296324,0,1957,8696,8769,5287,5330,0,0,0,69960,1475,196
7035,7,35,23630,700,280,280,7,36,,50;30;20,,0,0,0,0,0,209,0,,,,296324,0,1957,8696,8769,5496,5330,0,0,0,70127,1506,126
7036,7,36,24055,712,285,285,7,37,,50;30;20,,0,0,0,0,0,0,209,,,,296324,0,1957,8696,8769,5496,5539,0,0,0,70295,1574,87
7037,7,37,24480,725,290,290,7,38,,50;30;20,,0,0,0,0,0,216,0,,,,296324,0,1957,8696,8769,5712,5539,0,0,0,70467,1653,100
7038,7,38,24905,737,295,295,7,39,41,50;30;20,,0,0,0,0,0,0,216,,,,296324,0,1957,8696,8769,5712,5755,0,0,0,70640,1676,168
7039,7,39,25330,750,300,300,7,40,,50;30;20,,0,0,0,0,0,224,0,,,,296324,0,1957,8696,8769,5936,5755,0,0,0,70819,1686,240
7040,7,40,25755,762,305,305,7,41,,50;30;20,,0,0,0,0,0,0,224,,,,296324,0,1957,8696,8769,5936,5979,0,0,0,70999,1738,287
7041,7,41,26180,775,310,310,7,42,,50;30;20,,0,0,0,0,0,232,0,,,,296324,0,1957,8696,8769,6168,5979,0,0,0,71184,1808,302
7042,7,42,26605,787,315,315,7,43,,50;30;20,,0,0,0,0,0,0,232,,,,296324,0,1957,8696,8769,6168,6211,0,0,0,71370,1879,315
7043,7,43,27030,800,320,320,7,44,,50;30;20,,0,0,0,0,0,240,0,,,,296324,0,1957,8696,8769,6408,6211,0,0,0,71562,1946,291
7044,7,44,27455,812,325,325,7,45,,50;30;20,,0,0,0,0,0,0,239,,,,296324,0,1957,8696,8769,6408,6450,0,0,0,71753,1917,231
7045,7,45,27880,825,330,330,7,46,,50;30;20,,0,0,0,0,0,247,0,,,,296324,0,1957,8696,8769,6655,6450,0,0,0,71951,1866,181
7046,7,46,28305,837,335,335,7,47,42,50;30;20,,0,0,0,0,0,0,247,,,,296324,0,1957,8696,8769,6655,6697,0,0,0,72148,1911,129
7047,7,47,28730,850,340,340,7,48,,50;30;20,,0,0,0,0,0,255,0,,,,296324,0,1957,8696,8769,6910,6697,0,0,0,72352,1980,121
7048,7,48,29155,862,345,345,7,49,,50;30;20,,0,0,0,0,0,0,254,,,,296324,0,1957,8696,8769,6910,6951,0,0,0,72555,1958,196
7049,7,49,29580,875,350,350,7,50,,50;30;20,,0,0,0,0,0,263,0,,,,296324,0,1957,8696,8769,7173,6951,0,0,0,72766,2006,249
7050,7,50,30005,887,355,355,7,51,,50;30;20,,0,0,0,0,0,0,262,,,,296324,0,1957,8696,8769,7173,7213,0,0,0,72975,2053,196
7051,7,51,30430,900,360,360,7,52,,50;30;20,,0,0,0,0,0,270,0,,,,296324,0,1957,8696,8769,7443,7213,0,0,0,73191,2084,126
7052,7,52,30855,912,365,365,7,53,,50;30;20,,0,0,0,0,0,0,269,,,,296324,0,1957,8696,8769,7443,7482,0,0,0,73407,2152,87
7053,7,53,31280,925,370,370,7,54,,50;30;20,,0,0,0,0,0,278,0,,,,296324,0,1957,8696,8769,7721,7482,0,0,0,73629,2231,100
7054,7,54,31705,937,375,375,7,55,43,50;30;20,,0,0,0,0,0,0,277,,,,296324,0,1957,8696,8769,7721,7759,0,0,0,73851,2254,168
7055,7,55,32130,950,380,380,7,56,,50;30;20,,0,0,0,0,0,286,0,,,,296324,0,1957,8696,8769,8007,7759,0,0,0,74079,2264,240
7056,7,56,32555,962,385,385,7,57,,50;30;20,,0,0,0,0,0,0,285,,,,296324,0,1957,8696,8769,8007,8044,0,0,0,74307,2316,287
7057,7,57,32980,975,390,390,7,58,,50;30;20,,0,0,0,0,0,294,0,,,,296324,0,1957,8696,8769,8301,8044,0,0,0,74543,2386,302
7058,7,58,33405,987,395,395,7,59,,50;30;20,,0,0,0,0,0,0,292,,,,296324,0,1957,8696,8769,8301,8336,0,0,0,74776,2457,315
7059,7,59,33830,1000,400,400,7,60,,50;30;20,,0,0,0,0,0,301,0,,,,296324,0,1957,8696,8769,8602,8336,0,0,0,75017,2524,291
7060,7,60,34255,1012,405,405,7,61,,50;30;20,,0,0,0,0,0,0,300,,,,296324,0,1957,8696,8769,8602,8636,0,0,0,75257,2495,231
7061,7,61,34680,1025,410,410,7,62,,50;30;20,,0,0,0,0,0,309,0,,,,296324,0,1957,8696,8769,8911,8636,0,0,0,75504,2444,181
7062,7,62,35105,1037,415,415,7,63,44,50;30;20,,0,0,0,0,0,0,307,,,,296324,0,1957,8696,8769,8911,8943,0,0,0,75750,2489,129
7063,7,63,35530,1050,420,420,7,64,,50;30;20,,0,0,0,0,0,317,0,,,,296324,0,1957,8696,8769,9228,8943,0,0,0,76003,2558,121
7064,7,64,0,0,425,425,8,0,,50;30;20,,0,0,0,0,0,0,315,,,,296324,0,1957,8696,8769,9228,9258,0,0,0,76255,2536,196
8000,8,0,11305,360,120,120,8,1,,50;30;20,,22499,0,177,826,826,461,461,,,,318823,0,2134,9522,9595,9689,9719,0,0,0,87500,224,196
8001,8,1,11730,375,125,125,8,2,,50;30;20,,2218,0,0,0,0,0,0,,,,321041,0,2134,9522,9595,9689,9719,0,0,0,87576,272,249
8002,8,2,12155,390,130,130,8,3,,50;30;20,,0,0,50,0,0,0,0,,,,321041,0,2184,9522,9595,9689,9719,0,0,0,87801,319,196
8003,8,3,12580,405,135,135,8,4,,50;30;20,,2439,0,0,0,0,0,0,,,,323480,0,2184,9522,9595,9689,9719,0,0,0,87884,350,126
8004,8,4,13005,420,140,140,8,5,,50;30;20,,0,0,55,0,0,0,0,,,,323480,0,2239,9522,9595,9689,9719,0,0,0,88131,418,87
8005,8,5,13430,435,145,145,8,6,,50;30;20,,2661,0,0,0,0,0,0,,,,326141,0,2239,9522,9595,9689,9719,0,0,0,88222,497,100
8006,8,6,13855,450,150,150,8,7,,50;30;20,,0,0,60,0,0,0,0,,,,326141,0,2299,9522,9595,9689,9719,0,0,0,88492,520,168
8007,8,7,14280,465,155,155,8,8,45,50;30;20,,2883,0,0,0,0,0,0,,,,329024,0,2299,9522,9595,9689,9719,0,0,0,88590,530,240
8008,8,8,14705,480,160,160,8,9,,50;30;20,,0,0,65,0,0,0,0,,,,329024,0,2364,9522,9595,9689,9719,0,0,0,88882,582,287
8009,8,9,15130,495,165,165,8,10,,50;30;20,,3105,0,0,0,0,0,0,,,,332129,0,2364,9522,9595,9689,9719,0,0,0,88988,652,302
8010,8,10,15555,510,170,170,8,11,,50;30;20,,0,0,70,0,0,0,0,,,,332129,0,2434,9522,9595,9689,9719,0,0,0,89303,723,315
8011,8,11,15980,525,175,175,8,12,,50;30;20,,3326,0,0,0,0,0,0,,,,335455,0,2434,9522,9595,9689,9719,0,0,0,89416,790,291
8012,8,12,16405,540,180,180,8,13,,50;30;20,,0,0,75,0,0,0,0,,,,335455,0,2509,9522,9595,9689,9719,0,0,0,89753,761,231
8013,8,13,16830,555,185,185,8,14,,50;30;20,,3548,0,0,0,0,0,0,,,,339003,0,2509,9522,9595,9689,9719,0,0,0,89874,710,181
8014,8,14,17255,570,190,190,8,15,,50;30;20,,0,0,79,0,0,0,0,,,,339003,0,2588,9522,9595,9689,9719,0,0,0,90230,755,129
8015,8,15,17680,585,195,195,8,16,,50;30;20,,3770,0,0,0,0,0,0,,,,342773,0,2588,9522,9595,9689,9719,0,0,0,90358,824,121
8016,8,16,18105,600,200,200,8,17,46,50;30;20,,0,0,84,0,0,0,0,,,,342773,0,2672,9522,9595,9689,9719,0,0,0,90736,802,196
8017,8,17,18530,615,205,205,8,18,,50;30;20,,3992,0,0,0,0,0,0,,,,346765,0,2672,9522,9595,9689,9719,0,0,0,90871,850,249
8018,8,18,18955,630,210,210,8,19,,50;30;20,,0,0,89,0,0,0,0,,,,346765,0,2761,9522,9595,9689,9719,0,0,0,91272,897,196
8019,8,19,19380,645,215,215,8,20,,50;30;20,,4213,0,0,0,0,0,0,,,,350978,0,2761,9522,9595,9689,9719,0,0,0,91415,928,126
8020,8,20,19805,660,220,220,8,21,,50;30;20,,0,0,94,0,0,0,0,,,,350978,0,2855,9522,9595,9689,9719,0,0,0,91838,996,87
8021,8,21,20230,675,225,225,8,22,,50;30;20,,4435,0,0,0,0,0,0,,,,355413,0,2855,9522,9595,9689,9719,0,0,0,91989,1075,100
8022,8,22,20655,690,230,230,8,23,,50;30;20,,0,0,99,0,0,0,0,,,,355413,0,2954,9522,9595,9689,9719,0,0,0,92434,1098,168
8023,8,23,21080,705,235,235,8,24,,50;30;20,,4657,0,0,0,0,0,0,,,,360070,0,2954,9522,9595,9689,9719,0,0,0,92593,1108,240
8024,8,24,21505,720,240,240,8,25,,50;30;20,,0,0,103,0,0,0,0,,,,360070,0,3057,9522,9595,9689,9719,0,0,0,93056,1160,287
8025,8,25,21930,735,245,245,8,26,47,50;30;20,,4879,0,0,0,0,0,0,,,,364949,0,3057,9522,9595,9689,9719,0,0,0,93222,1230,302
8026,8,26,22355,750,250,250,8,27,,50;30;20,,0,0,108,0,0,0,0,,,,364949,0,3165,9522,9595,9689,9719,0,0,0,93708,1301,315
8027,8,27,22780,765,255,255,8,28,,50;30;20,,5100,0,0,0,0,0,0,,,,370049,0,3165,9522,9595,9689,9719,0,0,0,93882,1368,291
8028,8,28,23205,780,260,260,8,29,,50;30;20,,0,0,113,0,0,0,0,,,,370049,0,3278,9522,9595,9689,9719,0,0,0,94390,1339,231
8029,8,29,23630,795,265,265,8,30,,50;30;20,,5322,0,0,0,0,0,0,,,,375371,0,3278,9522,9595,9689,9719,0,0,0,94571,1288,181
8030,8,30,24055,810,270,270,8,31,,50;30;20,,0,0,118,0,0,0,0,,,,375371,0,3396,9522,9595,9689,9719,0,0,0,95102,1333,129
8031,8,31,24480,825,275,275,8,32,,50;30;20,,5544,0,0,0,0,0,0,,,,380915,0,3396,9522,9595,9689,9719,0,0,0,95291,1402,121
8032,8,32,24905,840,280,280,8,33,,50;30;20,,0,0,123,0,0,0,0,,,,380915,0,3519,9522,9595,9689,9719,0,0,0,95844,1380,196
8033,8,33,25330,855,285,285,8,34,,50;30;20,,5766,0,0,0,0,0,0,,,,386681,0,3519,9522,9595,9689,9719,0,0,0,96040,1428,249
8034,8,34,25755,870,290,290,8,35,48,50;30;20,,0,0,127,0,0,0,0,,,,386681,0,3646,9522,9595,9689,9719,0,0,0,96612,1475,196
8035,8,35,26180,885,295,295,8,36,,50;30;20,,5987,0,0,0,0,0,0,,,,392668,0,3646,9522,9595,9689,9719,0,0,0,96815,1506,126
8036,8,36,26605,900,300,300,8,37,,50;30;20,,0,0,132,0,0,0,0,,,,392668,0,3778,9522,9595,9689,9719,0,0,0,97409,1574,87
8037,8,37,27030,915,305,305,8,38,,50;30;20,,6209,0,0,0,0,0,0,,,,398877,0,3778,9522,9595,9689,9719,0,0,0,97620,1653,100
8038,8,38,27455,930,310,310,8,39,,50;30;20,,0,0,137,0,0,0,0,,,,398877,0,3915,9522,9595,9689,9719,0,0,0,98237,1676,168
8039,8,39,27880,945,315,315,8,40,,50;30;20,,6431,0,0,0,0,0,0,,,,405308,0,3915,9522,9595,9689,9719,0,0,0,98455,1686,240
8040,8,40,28305,960,320,320,8,41,,50;30;20,,0,0,142,0,0,0,0,,,,405308,0,4057,9522,9595,9689,9719,0,0,0,99094,1738,287
8041,8,41,28730,975,325,325,8,42,,50;30;20,,6653,0,0,0,0,0,0,,,,411961,0,4057,9522,9595,9689,9719,0,0,0,99321,1808,302
8042,8,42,29155,990,330,330,8,43,,50;30;20,,0,0,147,0,0,0,0,,,,411961,0,4204,9522,9595,9689,9719,0,0,0,99982,1879,315
8043,8,43,29580,1005,335,335,8,44,49,50;30;20,,6874,0,0,0,0,0,0,,,,418835,0,4204,9522,9595,9689,9719,0,0,0,100216,1946,291
8044,8,44,30005,1020,340,340,8,45,,50;30;20,,0,0,151,0,0,0,0,,,,418835,0,4355,9522,9595,9689,9719,0,0,0,100895,1917,231
8045,8,45,30430,1035,345,345,8,46,,50;30;20,,7096,0,0,0,0,0,0,,,,425931,0,4355,9522,9595,9689,9719,0,0,0,101137,1866,181
8046,8,46,30855,1050,350,350,8,47,,50;30;20,,0,0,156,0,0,0,0,,,,425931,0,4511,9522,9595,9689,9719,0,0,0,101839,1911,129
8047,8,47,31280,1065,355,355,8,48,,50;30;20,,7318,0,0,0,0,0,0,,,,433249,0,4511,9522,9595,9689,9719,0,0,0,102087,1980,121
8048,8,48,31705,1080,360,360,8,49,,50;30;20,,0,0,161,0,0,0,0,,,,433249,0,4672,9522,9595,9689,9719,0,0,0,102812,1958,196
8049,8,49,32130,1095,365,365,8,50,,50;30;20,,7540,0,0,0,0,0,0,,,,440789,0,4672,9522,9595,9689,9719,0,0,0,103068,2006,249
8050,8,50,32555,1110,370,370,8,51,,50;30;20,,0,0,166,0,0,0,0,,,,440789,0,4838,9522,9595,9689,9719,0,0,0,103815,2053,196
8051,8,51,32980,1125,375,375,8,52,,50;30;20,,7761,0,0,0,0,0,0,,,,448550,0,4838,9522,9595,9689,9719,0,0,0,104079,2084,126
8052,8,52,33405,1140,380,380,8,53,50,50;30;20,,0,0,171,0,0,0,0,,,,448550,0,5009,9522,9595,9689,9719,0,0,0,104849,2152,87
8053,8,53,33830,1155,385,385,8,54,,50;30;20,,7983,0,0,0,0,0,0,,,,456533,0,5009,9522,9595,9689,9719,0,0,0,105120,2231,100
8054,8,54,34255,1170,390,390,8,55,,50;30;20,,0,0,176,0,0,0,0,,,,456533,0,5185,9522,9595,9689,9719,0,0,0,105912,2254,168
8055,8,55,34680,1185,395,395,8,56,,50;30;20,,8205,0,0,0,0,0,0,,,,464738,0,5185,9522,9595,9689,9719,0,0,0,106191,2264,240
8056,8,56,35105,1200,400,400,8,57,,50;30;20,,0,0,180,0,0,0,0,,,,464738,0,5365,9522,9595,9689,9719,0,0,0,107001,2316,287
8057,8,57,35530,1215,405,405,8,58,,50;30;20,,8427,0,0,0,0,0,0,,,,473165,0,5365,9522,9595,9689,9719,0,0,0,107288,2386,302
8058,8,58,35955,1230,410,410,8,59,,50;30;20,,0,0,185,0,0,0,0,,,,473165,0,5550,9522,9595,9689,9719,0,0,0,108120,2457,315
8059,8,59,36380,1245,415,415,8,60,,50;30;20,,8648,0,0,0,0,0,0,,,,481813,0,5550,9522,9595,9689,9719,0,0,0,108414,2524,291
8060,8,60,36805,1260,420,420,8,61,,50;30;20,,0,0,190,0,0,0,0,,,,481813,0,5740,9522,9595,9689,9719,0,0,0,109269,2495,231
8061,8,61,37230,1275,425,425,8,62,51,50;30;20,,8870,0,0,0,0,0,0,,,,490683,0,5740,9522,9595,9689,9719,0,0,0,109571,2444,181
8062,8,62,37655,1290,430,430,8,63,,50;30;20,,0,0,195,0,0,0,0,,,,490683,0,5935,9522,9595,9689,9719,0,0,0,110448,2489,129
8063,8,63,38080,1305,435,435,8,64,,50;30;20,,9092,0,0,0,0,0,0,,,,499775,0,5935,9522,9595,9689,9719,0,0,0,110757,2558,121
8064,8,64,38505,1320,440,440,8,65,,50;30;20,,0,0,200,0,0,0,0,,,,499775,0,6135,9522,9595,9689,9719,0,0,0,111657,2536,196
8065,8,65,38930,1335,445,445,8,66,,50;30;20,,9314,0,0,0,0,0,0,,,,509089,0,6135,9522,9595,9689,9719,0,0,0,111974,2584,249
8066,8,66,39355,1350,450,450,8,67,,50;30;20,,0,0,204,0,0,0,0,,,,509089,0,6339,9522,9595,9689,9719,0,0,0,112892,2631,196
8067,8,67,39780,1365,455,455,8,68,,50;30;20,,9535,0,0,0,0,0,0,,,,518624,0,6339,9522,9595,9689,9719,0,0,0,113216,2662,126
8068,8,68,40205,1380,460,460,8,69,,50;30;20,,0,0,209,0,0,0,0,,,,518624,0,6548,9522,9595,9689,9719,0,0,0,114157,2730,87
8069,8,69,40630,1395,465,465,8,70,,50;30;20,,9757,0,0,0,0,0,0,,,,528381,0,6548,9522,9595,9689,9719,0,0,0,114488,2809,100
8070,8,70,41055,1410,470,470,8,71,52,50;30;20,,0,0,214,0,0,0,0,,,,528381,0,6762,9522,9595,9689,9719,0,0,0,115451,2832,168
8071,8,71,41480,1425,475,475,8,72,,50;30;20,,9979,0,0,0,0,0,0,,,,538360,0,6762,9522,9595,9689,9719,0,0,0,115791,2842,240
8072,8,72,41905,1440,480,480,8,73,,50;30;20,,0,0,219,0,0,0,0,,,,538360,0,6981,9522,9595,9689,9719,0,0,0,116776,2894,287
8073,8,73,42330,1455,485,485,8,74,,50;30;20,,10201,0,0,0,0,0,0,,,,548561,0,6981,9522,9595,9689,9719,0,0,0,117123,2964,302
8074,8,74,42755,1470,490,490,8,75,,50;30;20,,0,0,224,0,0,0,0,,,,548561,0,7205,9522,9595,9689,9719,0,0,0,118131,3035,315
8075,8,75,43180,1485,495,495,8,76,,50;30;20,,10422,0,0,0,0,0,0,,,,558983,0,7205,9522,9595,9689,9719,0,0,0,118485,3102,291
8076,8,76,43605,1500,500,500,8,77,,50;30;20,,0,0,228,0,0,0,0,,,,558983,0,7433,9522,9595,9689,9719,0,0,0,119511,3073,231
8077,8,77,44030,1515,505,505,8,78,,50;30;20,,10644,0,0,0,0,0,0,,,,569627,0,7433,9522,9595,9689,9719,0,0,0,119873,3022,181
8078,8,78,44455,1530,510,510,8,79,,50;30;20,,0,0,233,0,0,0,0,,,,569627,0,7666,9522,9595,9689,9719,0,0,0,120922,3067,129
8079,8,79,44880,1545,515,515,8,80,53,50;30;20,,10866,0,0,0,0,0,0,,,,580493,0,7666,9522,9595,9689,9719,0,0,0,121291,3136,121
8080,8,80,45305,1560,520,520,8,81,,50;30;20,,0,0,238,0,0,0,0,,,,580493,0,7904,9522,9595,9689,9719,0,0,0,122362,3114,196
8081,8,81,0,0,525,525,9,0,,50;30;20,,11088,0,0,0,0,0,0,,,,591581,0,7904,9522,9595,9689,9719,0,0,0,122739,3162,249
9000,9,0,14195,540,135,135,9,1,,50;30;20,,26203,0,206,962,962,536,536,,,,617784,0,8110,10484,10557,10225,10255,0,0,0,135954,224,196
9001,9,1,14620,560,140,140,9,2,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10225,10255,0,0,0,135954,272,249
9002,9,2,15045,580,145,145,9,3,,50;30;20,,0,0,0,0,0,81,0,,,,617784,0,8110,10484,10557,10306,10255,0,0,0,136018,319,196
9003,9,3,15470,600,150,150,9,4,,50;30;20,,0,0,0,0,0,0,84,,,,617784,0,8110,10484,10557,10306,10339,0,0,0,136086,350,126
9004,9,4,15895,620,155,155,9,5,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10306,10339,0,0,0,136086,418,87
9005,9,5,16320,640,160,160,9,6,,50;30;20,,0,0,0,0,0,93,0,,,,617784,0,8110,10484,10557,10399,10339,0,0,0,136160,497,100
9006,9,6,16745,660,165,165,9,7,,50;30;20,,0,0,0,0,0,0,95,,,,617784,0,8110,10484,10557,10399,10434,0,0,0,136236,520,168
9007,9,7,17170,680,170,170,9,8,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10399,10434,0,0,0,136236,530,240
9008,9,8,17595,700,175,175,9,9,54,50;30;20,,0,0,0,0,0,104,0,,,,617784,0,8110,10484,10557,10503,10434,0,0,0,136319,582,287
9009,9,9,18020,720,180,180,9,10,,50;30;20,,0,0,0,0,0,0,106,,,,617784,0,8110,10484,10557,10503,10540,0,0,0,136404,652,302
9010,9,10,18445,740,185,185,9,11,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10503,10540,0,0,0,136404,723,315
9011,9,11,18870,760,190,190,9,12,,50;30;20,,0,0,0,0,0,116,0,,,,617784,0,8110,10484,10557,10619,10540,0,0,0,136497,790,291
9012,9,12,19295,780,195,195,9,13,,50;30;20,,0,0,0,0,0,0,118,,,,617784,0,8110,10484,10557,10619,10658,0,0,0,136591,761,231
9013,9,13,19720,800,200,200,9,14,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10619,10658,0,0,0,136591,710,181
9014,9,14,20145,820,205,205,9,15,,50;30;20,,0,0,0,0,0,128,0,,,,617784,0,8110,10484,10557,10747,10658,0,0,0,136694,755,129
9015,9,15,20570,840,210,210,9,16,,50;30;20,,0,0,0,0,0,0,129,,,,617784,0,8110,10484,10557,10747,10787,0,0,0,136797,824,121
9016,9,16,20995,860,215,215,9,17,,50;30;20,,0,0,0,0,0,0,0,,,,617784,0,8110,10484,10557,10747,10787,0,0,0,136797,802,196
9017,9,17,21420,880,220,220,9,18,,50;30;20,,0,0,0,0,0,139,0,,,,617784,0,8110,10484,10557,10886,10787,0,0,0,136908,850,249
